Count from total of 128125547 word 3-grams
3752	CHIEF	OF	STAFF
2957	SENSE	OF	HUMOR
2862	AFTER	THE	FIRST
2599	GROUP	OF	PEOPLE
2097	PIECE	OF	PAPER
2069	COULD	NO	LO(I)NGER
1493	RIGHT	IN	FRONT
1389	WORLD	IN	WHICH
1109	ABOUT	THE	WORLD
1004	PEOPLE	OF	COLOR
999	SEUEN	OR	EIGHT
994	WOULD	NO	LO(I)NGER
969	WOULD	BE	WILL(I)NG
927	TELLS	THE	STORY
920	SPEND	THE	NIGHT
917	ABOUT	THE	PEOPLE
905	SINCE	THE	FIRST
900	WHERE	HE	COULD
882	GLASS	OF	WATER
879	WHICH	IS	ABOUT
837	CASES	IN	WHICH
822	UNDER	THE	TABLE
817	SHEET	OF	PAPER
795	EUERY	SO	OFTEN
774	POINT	AT	WHICH
734	CINDS	OF	PEOPLE
732	MACES	IT	EASIER
725	SPENT	THE	NIGHT
723	COULD	BE	FOUND
718	WHICH	IS	WHERE
716	MACES	NO	SENSE
713	ABOUT	THE	STATE
711	STOOD	IN	FRONT
710	PLACE	TO	START
703	ABOUT	THE	WHOLE
695	CHA(I)NGE	THE	WORLD
679	WHICH	IS	REALLY
678	WITHIN	THE	FIRST
656	ORDER	TO	AUOID
642	SPEED	OF	LIGHT
632	WOULD	BE	HAPPY
628	WHERE	HE	WOULD
625	WHERE	THE	MONEY
601	ABOUT	THE	FIRST
583	ABOUT	THE	ISSUE
564	TALC(I)NG	TO	PEOPLE
555	WHICH	IS	STILL
544	BUNCH	OF	PEOPLE
538	WHICH	IS	BASED
530	COAST	TO	COAST
527	CWICC	TO	POINT
526	WOULD	BE	EASIER
507	WOULD	BE	ABOUT
500	PLACE	TO	PLACE
494	SLEEP	AT	NIGHT
494	ABOUT	TO	BEGIN
490	PLANS	TO	BUILD
487	ABOUT	THE	MONEY
486	WHICH	HE	WOULD
485	MAYBE	WE	COULD
485	AFTER	THE	CIUIL
483	WOULD	DO	ANYTH(I)NG
482	PERIOD	IN	WHICH
478	BEGAN	TO	CHA(I)NGE
473	JOIN(I)NG	US	TODAY
472	GROUP	OF	WOMEN
467	WHICH	HE	COULD
461	SPEND	THE	MONEY
455	MEDAL	OF	HONOR
451	UNDER	THE	GUISE
449	WHERE	IT	WOULD
446	STAND	IN	FRONT
436	BLACC	OR	WHITE
433	MAYBE	IT	WOULD
432	SITT(I)NG	IN	FRONT
432	SEASON	TO	TASTE
431	HOURS	OF	SLEEP
431	ABOUE	SEA	LEUEL
428	WHERE	WE	COULD
427	WOULD	BE	TACEN
421	SENSE	OF	PLACE
419	THOUGH	HE	COULD
418	WILL(I)NG	TO	SPEND
418	AFTER	THE	STORM
418	ABUSE	OF	POWER
417	ABOUT	THE	WEATHER
412	UNDER	THE	STARS
412	LOOCS	AS	THOUGH
410	TELL(I)NG	THE	STORY
409	TABLE	IN	FRONT
408	WOMEN	OF	COLOR
405	WHERE	HE	LIUED
404	COULD	DO	ANYTH(I)NG
399	FIND(I)NG	THE	RIGHT
395	PIECE	OF	MUSIC
392	MONEY	TO	SPEND
392	ABOUT	THE	UALUE
391	ORDER	IN	WHICH
390	WEECS	OR	MONTHS
384	ABOUT	TO	START
383	WITHIN	THE	STATE
383	ABOUT	THE	AUTHOR
382	SENSE	OF	SMELL
381	ABOUT	THE	HOUSE
379	WHERE	HE	LIUES
377	ABOUT	TO	CHA(I)NGE
376	STATE	TO	STATE
367	WATER	TO	COUER
366	UNDER	THE	TERMS
366	ABOUE	THE	WATER
364	WOULD	BE	GIUEN
364	ABOUT	THE	PLACE
357	COULD	BE	TACEN
357	AFTER	THE	MEET(I)NG
352	ABOUT	TO	ENTER
351	WHICH	IS	OFTEN
350	UNDER	THE	WATER
348	PIECE	BY	PIECE
347	ABOUT	MY	FATHER
346	BEGAN	TO	APPEAR
344	UNTIL	HE	COULD
343	SINCE	THE	START
343	SCENE	IN	WHICH
342	COULD	DO	ABOUT
340	HOPED	IT	WOULD
340	AFTER	THE	SEASON
340	ABOUT	MY	MOTHER
337	ABOUT	THE	HUMAN
336	COULD	BE	WORSE
333	SETT(I)NG	THE	STAGE
331	TELL(I)NG	ME	ABOUT
328	WOULD	BE	CWITE
328	FIELD	OF	UISION
327	STILL	BE	ALIUE
322	WHERE	WE	WOULD
317	SOUND	OF	MUSIC
317	ORDER	TO	CREATE
316	WHERE	TO	BEGIN
315	WHERE	THE	WATER
314	WHERE	THE	PEOPLE
312	WHERE	TO	START
311	UNTIL	HE	FOUND
306	UNDER	THE	TITLE
306	ASCED	ME	ABOUT
303	AFTER	THE	CRASH
302	SENSE	IN	WHICH
297	WORLD	AT	LARGE
297	SEEMS	AS	THOUGH
296	STATE	IN	WHICH
295	SPENT	THE	FIRST
294	WHERE	THE	FIRST
294	HOUSE	IN	ORDER
293	PLACE	IN	WHICH
292	WOULD	BE	REALLY
292	WHICH	THE	STATE
292	UNDER	THE	RADAR
292	ABOUT	THE	STORY
288	SENSE	OF	PRIDE
286	MEET(I)NG	THE	NEEDS
282	FIRST	TO	ADMIT
281	WHILE	THE	OTHERS
280	RIGHT	UP	UNTIL
279	ABOUT	THE	MUSIC
279	ABOUT	THE	MOUIE
278	WOULD	BE	FOUND
277	STILL	IN	PLACE
277	ABOUT	THE	RIGHT
276	MISS(I)NG	IN	ACTION
275	WILL(I)NG	TO	SHARE
275	FOUND	THE	RIGHT
274	SPACE	IN	WHICH
274	HOUSE	TO	HOUSE
273	WOULD	BE	PROUD
272	TRIED	TO	AUOID
272	MORN(I)NG	ON	TODAY
270	STORY	IS	ABOUT
270	MAYBE	HE	COULD
266	ABOUT	THE	POWER
263	WHERE	IT	COULD
263	PEOPLE	ON	BOARD
262	WOULD	BE	RIGHT
262	RAISE	THE	MONEY
262	ABOUT	THE	WOMAN
259	DRINC	OF	WATER
257	WHERE	HE	STOOD
257	SCRAP	OF	PAPER
256	THOUGH	IT	WOULD
256	CALL(I)NG	THE	SHOTS
255	AFTER	THE	EUENT
253	WOULD	NO	DOUBT
252	WITHIN	THE	PARTY
252	MAYBE	HE	WOULD
252	CROWD	OF	PEOPLE
252	CHA(I)NGE	THE	RULES
252	AFTER	THE	BOMB(I)NG
251	FIELD	OF	STUDY
250	LIUES	OF	PEOPLE
250	GROUP	OF	SEUEN
249	UNTIL	THE	FINAL
248	UNDER	THE	FIRST
248	ABOUT	IT	UNTIL
247	MIGHT	OR	MIGHT
245	UNTIL	THE	FIRST
245	MIGHT	BE	WILL(I)NG
244	REASON	TO	DOUBT
242	AFTER	MY	FATHER
241	GROUP	OF	ABOUT
241	BEGAN	TO	WRITE
241	ABOUT	THE	RISCS
239	STUDY	IN	WHICH
238	WHERE	HE	SPENT
236	WANTS	TO	BUILD
236	NEUER	DO	ANYTH(I)NG
235	UNDER	THE	TREES
235	MONEY	TO	BUILD
235	FIELD	OF	DREAMS
232	ABOUT	THE	SOCIOL
230	TRIED	TO	FORCE
230	PLACE	TO	SLEEP
229	STATE	OR	LOCAL
229	FLOOR	TO	CEIL(I)NG
228	WITHIN	THE	GROUP
228	STATE	OF	SHOCC
227	PLANS	TO	SPEND
227	HOPED	HE	WOULD
226	TRIED	TO	SMILE
226	SHOWN	IN	PLATE
224	WHICH	IS	CWITE
224	SPEED	OF	SOUND
224	GUEST	OF	HONOR
222	SHOWN	IN	TABLE
221	WHICH	IS	OWNED
221	LIUES	OF	OTHERS
221	FLASH	OF	LIGHT
221	ABOUT	IT	LATER
220	WHERE	MY	FATHER
220	LEUEL	AT	WHICH
