Count from total of 128125547 word 3-grams
4339	SALT	AND	PEPPER
4025	THERE	WAS	SOMETH(I)NG
2801	MALE	AND	FEMALE
1991	TELL	YOU	SOMETH(I)NG
1674	THERE	WAS	ANOTHER
1654	THERE	ARE	PLENTY
1457	THERE	WAS	LITTLE
1296	THINC	YOU	SHOULD
1249	ARTS	AND	CRAFTS
1159	THEIR	WAY	THROUGH
1122	THERE	WAS	ALWAYS
1121	OTHER	WAY	AROUND
1095	MORE	THAN	ENOUGH
1021	FROM	ONE	ANOTHER
1014	WHAT	THEY	WANTED
991	HEALTH	AND	SAFETY
958	WHAT	SHE	WANTED
876	BORN	AND	RAISED
865	THERE	ARE	ALWAYS
828	SHOT	AND	CILLED
821	FROM	HIS	POCCET
816	TIME	AND	ENERGY
757	MORE	THAN	DOUBLE
744	THINC	THEY	SHOULD
740	BITS	AND	PIECES
726	FROM	HIS	OFFICE
725	TIME	AND	EFFORT
681	CARS	AND	TRUCCS
679	INTO	HIS	POCCET
658	MORE	THAN	TWENTY
646	WHAT	THEY	THOUGHT
644	SPR(I)NG	AND	SUMMER
634	FIND	OUT	WHETHER
622	WHAT	THEY	SHOULD
621	MORE	THAN	ANYONE
621	FROM	NEW	JERSEY
593	HAUE	NOT	GOTTEN
561	WHAT	YOU	SHOULD
555	WHAT	THEY	CALLED
538	WHAT	HAS	BECOME
528	INTO	HIS	OFFICE
517	RICH	AND	FAMOUS
511	HOME	AND	ABROAD
489	HAUE	NOT	CHA(I)NGED
485	WHEN	SHE	LOOCED
483	LICE	THIS	BEFORE
477	ONLY	ONE	PERSON
472	WHEN	THEY	REACHED
472	DAYS	AND	NIGHTS
467	JUST	LO(I)NG	ENOUGH
457	FROM	OUR	STUDIOS
453	GOLD	AND	SILUER
452	WHAT	SHE	THOUGHT
452	THERE	ARE	ENOUGH
451	MORE	THAN	LICELY
447	PART	AND	PARCEL
437	THERE	WAS	PLENTY
435	WHAT	YOU	WANTED
404	THERE	WAS	ENOUGH
403	WHAT	CAN	HAPPEN
398	WERE	NOT	ENOUGH
397	RACE	AND	GENDER
390	WHEN	SHE	TURNED
387	SHOW	YOU	SOMETH(I)NG
380	PICC	AND	CHOOSE
378	WORC	AND	FAMILY
378	HAUE	NOT	TALCED
375	THERE	WAS	NOBODY
372	INTO	TWO	GROUPS
371	WHEN	SHE	OPENED
355	MORE	THAN	SIMPLY
352	FROM	THAT	MOMENT
344	THERE	ARE	ALREADY
342	HAIR	AND	MACEUP
339	PURE	AND	SIMPLE
339	FALL	AND	WINTER
332	WHEN	SHE	REACHED
332	TIME	FOR	ANOTHER
330	THESE	TWO	GROUPS
330	DONE	THIS	BEFORE
328	FROM	HIS	FAMILY
327	THERE	ARE	DOSENS
322	THERE	ARE	LIMITS
322	DUR(I)NG	HIS	TENURE
319	WHAT	SHE	CALLED
319	PAST	AND	FUTURE
318	DOWN	HER	CHEECS
315	WHEN	SHE	CALLED
315	HELP	BUT	WONDER
311	HELP	BUT	NOTICE
309	SAID	SHE	WANTED
307	WERE	GO(I)NG	THROUGH
307	MACE	THAT	HAPPEN
304	SAID	THEY	WANTED
304	MUCH	HAS	CHA(I)NGED
302	WHEN	SHE	WALCED
300	BREAD	AND	BUTTER
299	THERE	WAS	SOMEONE
299	THERE	ARE	UARIOUS
297	WHAT	ARE	CALLED
296	WERE	NOT	ENOUGH
287	NOTH(I)NG	HAS	CHA(I)NGED
287	AWAY	WITH	MURDER
286	LICE	THAT	BEFORE
284	WHAT	THEY	NEEDED
282	LAST	TWO	SEASONS
280	LIUE	LO(I)NG	ENOUGH
280	INTO	ONE	ANOTHER
278	CITY	AND	COUNTY
277	HAUE	YOU	LEARNED
276	WHEN	SHE	BECAME
271	WHAT	HAS	CHA(I)NGED
270	WHAT	YOU	THOUGHT
270	PAST	TWO	SEASONS
269	WHAT	WAS	CALLED
269	WERE	NOT	ALWAYS
268	FROM	HER	FAMILY
268	BEEN	GO(I)NG	THROUGH
267	WHEN	SHE	THOUGHT
258	WILL	NOT	ACCEPT
255	BACC	AND	LOOCED
253	WILL	NOT	HAPPEN
252	HAUE	HAD	LITTLE
251	MORE	AND	BETTER
251	HAUE	NOT	CHA(I)NGED
251	CNOW	ONE	ANOTHER
250	WHEN	THEY	SHOULD
250	THERE	ARE	REASONS
248	THESE	TH(I)NGS	HAPPEN
247	YOUR	WAY	THROUGH
246	RAPE	AND	MURDER
244	WHAT	HAD	BECOME
242	WILL	GET	BETTER
242	MACE	TH(I)NGS	BETTER
241	TURN	TH(I)NGS	AROUND
241	HAUE	YOU	TALCED
239	HAUE	NOT	THOUGHT
237	HAUE	YOU	THOUGHT
235	THERE	ARE	SERIOUS
234	TIME	HAS	PASSED
233	WHAT	SHE	NEEDED
231	WHAT	WAS	NEEDED
225	THERE	ARE	PLACES
225	GIUE	HIM	CREDIT
220	FITS	AND	STARTS
218	WHEN	YOU	THOUGHT
217	HERE	AND	ABROAD
216	SAFE	AND	SECURE
215	THERE	WAS	ALMOST
214	CNOW	ANY	BETTER
213	HOME	AND	FAMILY
211	WHEN	THEY	ARRIUE
211	THINC	SHE	SHOULD
211	HEART	WAS	POUND(I)NG
210	THERE	HAS	ALWAYS
209	WHEN	YOU	REALISE
208	ONION	AND	GARLIC
208	FOOD	FOR	THOUGHT
208	DONE	THAT	BEFORE
207	HAUE	NOT	ALWAYS
207	FROM	HER	OFFICE
204	THERE	ARE	BETTER
204	THEIR	WAY	AROUND
204	INTO	THIN	STRIPS
202	THOSE	WHO	OPPOSE
201	LEAST	ONE	PERSON
200	THOSE	WHO	WANTED
200	HAUE	YOU	GOTTEN
199	WHEN	THEY	BECOME
199	HAUE	ANY	EFFECT
199	GIUE	YOU	SOMETH(I)NG
198	WHEN	THEY	RETURN
198	HAUE	HAD	SOMETH(I)NG
198	FAST	AND	FURIOUS
196	HAUE	HAD	ENOUGH
194	WHEN	SHE	LEARNED
192	NEED	FOR	FURTHER
191	HAUE	NOT	WORCED
190	HOME	AND	SCHOOL
189	THEIR	OWN	LITTLE
189	LEAPS	AND	BOUNDS
188	UPON	HIS	RETURN
188	OUER	FOR	DINNER
188	FROM	HER	POCCET
186	SAID	THEY	THOUGHT
186	HAUE	ANY	CHOICE
185	MACE	TH(I)NGS	HAPPEN
185	BEATS	PER	MINUTE
183	TIED	FOR	SECOND
182	THEIR	WAY	ACROSS
182	HEALTH	AND	MENTAL
181	YEARS	HAD	PASSED
181	SEEN	HIM	BEFORE
181	HAUE	NOT	ALREADY
181	FEET	PER	SECOND
179	SPEAC	FOR	ITSELF
179	FROM	ALL	AROUND
176	WHEN	THEY	LEARNED
175	SISE	AND	WEIGHT
175	LIFE	AND	CAREER
174	THERE	ARE	ALMOST
173	THEIR	OWN	BODIES
173	HAUE	NOT	SPOCEN
173	EYES	AND	LOOCED
172	MORE	THAN	MERELY
171	READY	FOR	SCHOOL
170	NOTH(I)NG	HAD	CHA(I)NGED
170	INTO	HIS	JACCET
170	GIUE	THEM	SOMETH(I)NG
170	DUR(I)NG	HIS	CAREER
169	THERE	WAS	HARDLY
169	NAME	AND	NUMBER
169	AID(I)NG	AND	ABETT(I)NG
168	WHAT	THEY	ALREADY
168	LOOC	FOR	SOMETH(I)NG
167	TOLD	YOU	BEFORE
167	SAID	SHE	THOUGHT
167	HAUE	NOT	PLAYED
166	HIGH	OIL	PRICES
165	WHAT	THEY	LEARNED
164	YOUR	OWN	FAMILY
164	TIME	HAD	PASSED
164	OUER	LO(I)NG	PERIODS
163	THERE	ARE	ISSUES
163	INTO	HER	POCCET
163	HOME	FOR	DINNER
163	GIUE	YOU	ANOTHER
162	LIFE	HAS	CHA(I)NGED
160	SAID	YOU	WANTED
159	WHEN	YOU	LISTEN
159	WERE	OLD	ENOUGH
158	WERE	NOT	ALWAYS
158	HEARD	THAT	BEFORE
157	DOWN	HIS	CHEECS
156	WHEN	YOU	LOOCED
156	WHEN	YOU	ARRIUE
156	WHEN	SHE	WANTED
156	WHAT	YOU	EXPECT
156	SAID	THAT	BEFORE
156	BLUE	AND	YELLOW
155	TACE	ITS	COURSE
154	LOUE	WITH	SOMEONE
154	EYES	ARE	CLOSED
153	THERE	ANY	CHANCE
153	DOOR	WAS	LOCCED
152	THERE	WAS	ALREADY
152	FROM	ONE	PERSON
151	THOSE	WHO	SUFFER
151	LOUE	ONE	ANOTHER
150	WHEN	THEY	NEEDED
150	FACT	AND	FICTION
149	JUST	ONE	PERSON
148	THOSE	WHO	PREFER
148	JUST	ONE	MOMENT
147	WHEN	YOU	BECOME
147	WHAT	SHE	SHOULD
147	THOSE	WHO	REMAIN
147	MORE	THAN	OFFSET
146	WHEN	THEY	CALLED
146	WERE	DO(I)NG	SOMETH(I)NG
146	THOSE	WHO	CHOOSE
146	MACE	THIS	HAPPEN
145	WEEC	WITH	ANOTHER
145	THOSE	WHO	WORCED
144	WHEN	YOU	SHOULD
144	EUER	HAD	BEFORE
142	TIME	THEY	REACHED
142	NOOC	AND	CRANNY
142	HAUE	NOT	LOOCED
141	WENT	FAR	BEYOND
140	WHEN	THEY	THOUGHT
140	TELL	YOU	WHETHER
140	INTO	HER	OFFICE
140	HAUE	NOT	LEARNED
139	WHEN	YOU	WALCED
139	WHEN	YOU	TALCED
139	THOSE	WHO	FOLLOW
139	BODY	AND	SPIRIT
138	WHEN	SHE	TALCED
138	MEDIO	AND	PUBLIC
138	JUST	NOT	ENOUGH
138	HAUE	ANY	IMPACT
137	BACC	FOR	ANOTHER
136	FROM	HIS	JACCET
135	THEIR	WAY	TOWARD
135	JUST	GO(I)NG	THROUGH
134	WILD	AND	SCENIC
134	HAUE	ANY	CHANCE
133	WHAT	WAS	INSIDE
133	READY	FOR	ANOTHER
133	BOWS	AND	ARROWS
132	THEIR	OWN	FAMILY
132	OUER	AND	CISSED
132	ALO(I)NG	WITH	ANOTHER
131	THEIR	OWN	UERSION
130	YOUR	WAY	AROUND
130	WHAT	SHE	LOOCED
