Count from total of 128125547 word 3-grams
1131	YORC	STOCC	EXCHA(I)NGE
791	JUST	ABOUT	EUERYTH(I)NG
378	WERE	FOUND	BETWEEN
272	JUST	GETT(I)NG	STARTED
248	MANY	PEOPLE	BELIEUE
222	BEEN	LOOC(I)NG	FORWARD
208	JUST	UNTIL	BLENDED
201	WHAT	REALLY	MATTERS
172	BOOC	NEUER	WRITTEN
168	THIRD	WORLD	COUNTRY
160	TACE	ACTION	AGAINST
154	SOME	PEOPLE	BELIEUE
142	TOOC	PLACE	BETWEEN
138	YORC	TIMES	ARTICLE
130	FORD	MOTOR	COMPANY
122	CAME	ABOUT	BECAUSE
121	MOST	PEOPLE	BELIEUE
116	JUST	ABOUT	ANYBODY
115	TALC	ABOUT	EUERYTH(I)NG
112	MACE	EUERY	ATTEMPT
110	BEEN	FILED	AGAINST
102	CELL	PHONE	RECORDS
97	BR(I)NG(I)NG	PEOPLE	TOGETHER
93	OTHER	GROUP	MEMBERS
92	OTHER	STAFF	MEMBERS
91	WHAT	REALLY	HAPPENS
91	OTHER	BOARD	MEMBERS
88	COOC	PASTA	ACCORD(I)NG
86	WERE	LOOC(I)NG	FORWARD
86	THEIR	LIUES	TOGETHER
82	UERY	CLOSE	FRIENDS
82	SOME	FINAL	THOUGHTS
80	FOOD	STAMP	PROGRAM
79	YOUR	LOCAL	LIBRARY
79	WERE	FIRST	MARRIED
78	BEEN	WORC(I)NG	TOGETHER
77	WERE	WORC(I)NG	TOGETHER
76	WILL	NEUER	FORGIUE
75	YORC	TIMES	REPORTS
74	NEWS	LEGAL	ANALYST
74	MANY	SOCIOL	WORCERS
73	HAUE	ANYTH(I)NG	AGAINST
73	BANC	HOLD(I)NG	COMPANY
72	INTO	FLOUR	MIXTURE
72	BEAT(I)NG	UNTIL	BLENDED
71	TACE	PLACE	BETWEEN
70	SOON	FOUND	HIMSELF
69	YOUR	WEATHER	PICTURE
69	FOOD	GUIDE	PYRAMID
69	DRUG	ABUSE	RESEARCH
68	BILL	WOULD	RECWIRE
66	THEIR	FIGHT	AGAINST
66	COME	ABOUT	BECAUSE
65	YOUR	FIRST	CWESTION
65	THEIR	LIUES	BECAUSE
65	PAY(I)NG	CHILD	SUPPORT
65	HALF	STARS	SERUICE
63	TALC	ABOUT	RELIGION
63	PEACE	TALCS	BETWEEN
63	HAUE	UOTED	AGAINST
62	YOUR	HANDS	TOGETHER
62	HOPE	SPR(I)NGS	ETERNAL
61	WERE	GETT(I)NG	MARRIED
59	YORC	TIMES	COMPANY
59	UERY	LARGE	NUMBERS
59	TALC	ABOUT	HIMSELF
58	TAC(I)NG	PLACE	BETWEEN
58	JOHN	BIRCH	SOCIETY
57	TAC(I)NG	ACTION	AGAINST
