Count from total of 128125547 word 3-grams
391	SUBSTANCE	ABUSE	AND
369	EUERYBODY	CNOWS	THAT
361	CERTAINLY	WOULD	NOT
340	CONCERNED	ABOUT	THAT
306	CONCERNED	ABOUT	THIS
257	POPULATION	GROWTH	AND
225	CONTINUES	AFTER	THIS
216	CONCERNED	ABOUT	HIS
204	CONCERNED	ABOUT	HOW
184	INTEREST(I)NG	ABOUT	THIS
159	POLITICAL	POWER	AND
148	CERTAINLY	WOULD	NOT
141	CONCERNED	ABOUT	HER
141	ANNOUNCED	TODAY	THAT
139	NONPROFIT	GROUP	THAT
128	IMPORTANT	REASON	FOR
123	ANNOUNCED	PLANS	FOR
122	RESOLUTION	CALL(I)NG	FOR
122	DIFFERENT	TIMES	AND
105	IMPORTANT	ISSUE	FOR
102	STAINLESS	STEEL	AND
102	REASONABLE	DOUBT	THAT
102	CONCERNED	ABOUT	BE(I)NG
101	COLLEAGUES	FOUND	THAT
100	DIFFERENT	ABOUT	THIS
99	CLASSICAL	MUSIC	AND
99	CERTAINLY	COULD	NOT
94	ESPECIOLLY	SINCE	SHE
93	TELEPHONE	CALLS	AND
92	CERTAINLY	AGREE	WITH
91	CONCERNED	ABOUT	OUR
89	DESPERATE	SEARCH	FOR
88	REFERENCE	POINT	FOR
85	GENERALLY	AGREE	THAT
85	DIFFERENT	SISES	AND
82	UNCERTAIN	TERMS	THAT
82	THEMSELUES	RATHER	THAN
82	TELEUISION	SHOWS	AND
82	CIGARETTE	SMOCE	AND
80	PARCHMENT	PAPER	AND
80	DISCUSSION	ABOUT	HOW
78	IMPORTANT	POINT	THAT
78	ESPECIOLLY	SINCE	THEY
77	SITUATIONS	WHERE	THEY
77	ORGANISED	CRIME	AND
75	DIFFERENT	PEOPLE	AND
74	THEORETICAL	BASIS	FOR
74	COUNTRIES	WHERE	THEY
73	PRESIDENT	RIGHT	NOW
73	CURRENTLY	UNDER	WAY
68	CONT(I)NGENCY	PLANS	FOR
68	CONCERNED	WOMEN	FOR
67	SITUATIONS	WHERE	YOU
66	ESPECIOLLY	GIUEN	THAT
66	CONCERNED	ABOUT	YOU
66	CNOWLEDGE	ABOUT	HOW
62	POLITICAL	PARTY	THAT
62	COOPERATE	FULLY	WITH
62	COMMUNITY	RATHER	THAN
61	EXECUTIUE	ORDER	THAT
60	POLITICAL	PARTY	AND
60	IMPORTANT	RIGHT	NOW
60	COPYRIGHT	WOMAN	AND
59	EUERYBODY	THINCS	THAT
58	TESTIFIED	UNDER	OATH
56	ORGANISED	LABOR	AND
56	ADUOCATES	ARGUE	THAT
55	EUERYBODY	CNOWS	YOU
54	INTEREST(I)NG	ABOUT	THAT
54	DISCUSSION	ABOUT	THIS
53	OBSERUERS	AGREE	THAT
53	CURRENTLY	WORC(I)NG	WITH
53	AUAILABLE	RIGHT	NOW
52	PRINCIPAL	REASON	FOR
52	EUERYBODY	CNOWS	WHO
52	EMERGENCY	ROOMS	AND
