Count from total of 128125547 word 3-grams
1591	READER	SERUICE	CARD
490	WOULD	BENEFIT	FROM
483	LARGE	SCILLET	OUER
359	COULD	BENEFIT	FROM
321	LEGAL	DEFENSE	FUND
307	AFTER	SEUERAL	YEARS
290	CNOWS	EXACTLY	WHAT
252	ABOUT	EUERYTH(I)NG	FROM
215	BLACC	HISTORY	MONTH
211	PLEASE	INCLUDE	YOUR
209	ABOUT	EUERYTH(I)NG	ELSE
195	MIGHT	BENEFIT	FROM
165	AFTER	RETURN(I)NG	FROM
161	SOCIOL	WORCERS	HAUE
156	SPENT	SEUERAL	YEARS
155	PEOPLE	SUFFER(I)NG	FROM
149	AFTER	SEUERAL	DAYS
137	FIRST	NATIONAL	BANC
132	STRO(I)NG	SUPPORT	FROM
129	TAGG(I)NG	PROGRAM	DUR(I)NG
113	COURT	RECORDS	SHOW
112	WHOSE	PARENTS	WERE
112	SOCIOL	SUPPORT	FROM
112	LOOCS	EXACTLY	LICE
112	ABOUT	EXACTLY	WHAT
108	MOTION	PICTURE	ARTS
107	SOCIOL	WORCERS	WERE
105	SOCIOL	WORCERS	MUST
104	CNOW(I)NG	EXACTLY	WHAT
89	TOTAL	CONTROL	OUER
87	SOCIOL	WORCERS	NEED
87	JUNIOR	SENATOR	FROM
83	SPENT	SEUERAL	DAYS
79	FIGHT	AGAINST	AIDS
77	SPOON	MIXTURE	INTO
76	WOULD	RECWIRE	MORE
75	SENIOR	OFFICIOL	SAID
74	BLOOD	SAMPLES	FROM
73	WHOSE	PARENTS	HAUE
73	STAFF	MEMBERS	WERE
72	AFTER	RETURN(I)NG	HOME
67	STATE	RECORDS	SHOW
67	ABOUT	FIFTEEN	YEARS
66	WHICH	RESULTS	FROM
66	SMALL	LIBERAL	ARTS
65	FOUND	NOWHERE	ELSE
64	STATE	CONTROL	OUER
63	WHISC	TOGETHER	EGGS
63	UOICE	SOUNDED	LICE
63	SENIOR	SENATOR	FROM
63	HOURS	MYSTERY	WILL
63	ABOUT	HALFWAY	DOWN
62	WOULD	PROUIDE	MORE
62	MUSIC	TEACHERS	HAUE
62	BOARD	MEMBERS	WERE
61	STAFF	MEMBERS	HAUE
61	SELL(I)NG	EUERYTH(I)NG	FROM
58	SMALL	SOUTHERN	TOWN
57	WHOSE	MEMBERS	WERE
57	ABOUT	FIFTEEN	FEET
56	BRIEF	PROGRAM	NOTE
55	STILL	SUFFER(I)NG	FROM
55	FIRST	NATIONAL	PARC
54	STAFF	MEMBERS	FROM
54	LIUED	HAPPILY	EUER
54	COULD	IMAGINE	WHAT
54	CHIEF	JUSTICE	JOHN
51	GROUP	MEMBERS	WERE
51	BOARD	MEMBERS	HAUE
50	OFFER	INSIGHT	INTO
49	TIGHT	CONTROL	OUER
49	SMALL	SCILLET	OUER
49	GETT(I)NG	CARRIED	AWAY
49	AFTER	FIFTEEN	YEARS
49	ABOUT	ANYBODY	ELSE
48	BLOOD	SAMPLES	WERE
47	THEMES	EMERGED	FROM
47	COUER	EUERYTH(I)NG	FROM
45	WOULD	INCREASE	THEIR
45	STILL	SUFFERS	FROM
45	PIECE	TOGETHER	WHAT
44	STUDY	RELEASED	LAST
44	SPEND	CWALITY	TIME
